model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
svm_rbf,0.7784935064935066,0.0742383980330164,0.7730449048715302,0.07135366010682465,0.7543648350457679,0.07595703294063187,0.8591802280966369,0.0658764840974182
extra_trees,0.7972207792207793,0.07130967574171149,0.745330369664735,0.08182489798965471,0.7524787878398826,0.08276221716414348,0.8475622502712286,0.06693590227123974
gradient_boosting,0.7735324675324675,0.0715793813298381,0.73471064539176,0.0794686307429951,0.7330919449927203,0.08160554339980028,0.8089815035325871,0.0760536251048496
random_forest,0.7978701298701298,0.059652636073342785,0.7342398983885051,0.07505336149555851,0.7447409468553715,0.07468399531789961,0.8548241644836072,0.06384071206571545
knn_7,0.7146363636363637,0.07769542930700533,0.7098727210182318,0.07278918319536387,0.6881428500116589,0.07560653336304968,0.7611998888624275,0.08225664234329795
logistic_regression,0.7135064935064935,0.11128006974028759,0.7093202085152549,0.08607832321422076,0.6891350915744525,0.10311725508876289,0.7846913286232171,0.08118577089255999
